district,date,actual,forecast,lower_ci,upper_ci
NANDURBAR,2021-02-01,3130,4136.559384821657,2957.9301289173036,5315.18864072601
NANDURBAR,2021-03-01,3365,4181.658462713362,2963.223568539668,5400.093356887055
NASHIK,2020-06-01,10644,9508.649300827083,7430.561767075818,11586.736834578347
NASHIK,2020-07-01,10668,9454.607500378475,6524.087436639442,12385.127564117509
NASHIK,2020-08-01,9838,9400.872843048026,5821.898836452236,12979.846849643816
NASHIK,2020-09-01,10420,9347.443583207458,5226.4828215669095,13468.404344848006
NASHIK,2020-10-01,10365,9294.317985149659,4699.943368577016,13888.692601722301
NASHIK,2020-11-01,9966,9241.494323032299,4222.782073398539,14260.206572666058
NASHIK,2020-12-01,11339,9188.970880821764,3783.378290451522,14594.563471192007
NASHIK,2021-01-01,11056,9136.745952237403,3374.1356056130135,14899.356298861792
NASHIK,2021-02-01,11802,9084.817840696105,2989.759922124622,15179.875759267588
NASHIK,2021-03-01,10787,9033.18485925718,2626.3835843812576,15439.986134133103
OSMANABAD,2020-06-01,2582,1115.128462137647,-1427.8894232507198,3658.1463475260134
OSMANABAD,2020-07-01,2273,0.0,-3551.1307511000505,3551.1307511000505
OSMANABAD,2020-08-01,1935,0.0,-3551.1307511000505,3551.1307511000505
OSMANABAD,2020-09-01,2241,0.0,-3551.1307511000505,3551.1307511000505
OSMANABAD,2020-10-01,2207,0.0,-3551.1307511000505,3551.1307511000505
OSMANABAD,2020-11-01,2274,0.0,-3551.1307511000505,3551.1307511000505
OSMANABAD,2020-12-01,2540,0.0,-3551.1307511000505,3551.1307511000505
OSMANABAD,2021-01-01,2519,0.0,-3551.1307511000505,3551.1307511000505
OSMANABAD,2021-02-01,2847,0.0,-3551.1307511000505,3551.1307511000505
OSMANABAD,2021-03-01,2677,0.0,-3551.1307511000505,3551.1307511000505
PALGHAR,2020-06-01,5473,6170.275005636265,5371.163957459632,6969.386053812897
PALGHAR,2020-07-01,4867,6114.720262452641,4987.364270346337,7242.076254558944
PALGHAR,2020-08-01,4606,5990.849085844066,4613.489340845058,7368.208830843075
PALGHAR,2020-09-01,4753,5879.497832928463,4292.928090133721,7466.067575723206
PALGHAR,2020-10-01,4616,5822.686701561724,4053.155105100151,7592.218298023296
PALGHAR,2020-11-01,4554,5972.8710491676975,4039.145539527107,7906.596558808288
PALGHAR,2020-12-01,5005,5970.972974007818,3887.365833780842,8054.580114234795
PALGHAR,2021-01-01,5509,5940.67625950243,3718.5887397550487,8162.763779249812
PALGHAR,2021-02-01,5817,5852.599833943645,3501.405617104078,8203.794050783212
PALGHAR,2021-03-01,6435,5813.940907906286,3341.5333234721443,8286.348492340428
PARBHANI,2020-06-01,3561,896.6190598080526,-2316.2485758203284,4109.486695436433
PARBHANI,2020-07-01,3186,0.0,-4486.523831058568,4486.523831058568
PARBHANI,2020-08-01,2743,0.0,-4486.523831058568,4486.523831058568
PARBHANI,2020-09-01,3099,0.0,-4486.523831058568,4486.523831058568
PARBHANI,2020-10-01,2920,0.0,-4486.523831058568,4486.523831058568
PARBHANI,2020-11-01,2538,0.0,-4486.523831058568,4486.523831058568
PARBHANI,2020-12-01,3472,0.0,-4486.523831058568,4486.523831058568
PARBHANI,2021-01-01,3279,0.0,-4486.523831058568,4486.523831058568
PARBHANI,2021-02-01,3530,0.0,-4486.523831058568,4486.523831058568
PARBHANI,2021-03-01,3595,0.0,-4486.523831058568,4486.523831058568
PUNE,2020-06-01,16981,9759.193514004772,-7383.065304827916,26901.45233283746
PUNE,2020-07-01,14939,0.0,-23937.83888028049,23937.83888028049
PUNE,2020-08-01,14322,0.0,-23937.83888028049,23937.83888028049
PUNE,2020-09-01,16328,0.0,-23937.83888028049,23937.83888028049
PUNE,2020-10-01,15750,0.0,-23937.83888028049,23937.83888028049
PUNE,2020-11-01,15551,0.0,-23937.83888028049,23937.83888028049
PUNE,2020-12-01,18113,0.0,-23937.83888028049,23937.83888028049
PUNE,2021-01-01,17234,0.0,-23937.83888028049,23937.83888028049
PUNE,2021-02-01,17537,0.0,-23937.83888028049,23937.83888028049
PUNE,2021-03-01,18280,0.0,-23937.83888028049,23937.83888028049
