district,date,actual,forecast,model_params
LATUR,2020-11-01,462,293.574419358936,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
LATUR,2020-12-01,367,293.2576054767775,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
LATUR,2021-01-01,570,292.98752864323444,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
LATUR,2021-02-01,322,292.75726032038955,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
LATUR,2021-03-01,401,292.56090826624137,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
MUMBAI,2020-06-01,663,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2020-07-01,513,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2020-08-01,579,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2020-09-01,683,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2020-10-01,763,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2020-11-01,583,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2020-12-01,934,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2021-01-01,474,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2021-02-01,543,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
MUMBAI,2021-03-01,484,561.1643301148556,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124D25D0>
NAGPUR,2020-06-01,610,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2020-07-01,617,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2020-08-01,638,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2020-09-01,488,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2020-10-01,603,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2020-11-01,560,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2020-12-01,819,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2021-01-01,599,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2021-02-01,374,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NAGPUR,2021-03-01,416,523.8301744890132,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11E04250>
NANDED,2020-06-01,287,321.1565896565241,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2020-07-01,261,345.47865670698997,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2020-08-01,400,364.93631034814155,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2020-09-01,435,380.50243326168595,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2020-10-01,391,392.95533159302,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2020-11-01,412,402.91765025848605,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2020-12-01,334,410.8875051911779,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2021-01-01,287,417.26338913758667,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2021-02-01,220,422.36409629491783,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDED,2021-03-01,285,426.4446620209461,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12B27310>
NANDURBAR,2020-06-01,434,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2020-07-01,480,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2020-08-01,533,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2020-09-01,497,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2020-10-01,568,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2020-11-01,511,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2020-12-01,505,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2021-01-01,342,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2021-02-01,363,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NANDURBAR,2021-03-01,354,337.0101911851457,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB124E2A90>
NASHIK,2020-06-01,800,921.2488993667822,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2020-07-01,975,953.0232516532603,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2020-08-01,1023,970.0633903565163,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2020-09-01,1143,979.2017773300178,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2020-10-01,1264,984.102565870049,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2020-11-01,1037,986.730789908246,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2020-12-01,976,988.1402695335213,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2021-01-01,882,988.8961536534416,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2021-02-01,909,989.3015236868226,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
NASHIK,2021-03-01,1000,989.5189179402972,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1352EF50>
OSMANABAD,2020-06-01,182,183.8350777979177,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2020-07-01,177,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2020-08-01,234,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2020-09-01,190,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2020-10-01,248,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2020-11-01,189,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2020-12-01,200,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2021-01-01,138,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2021-02-01,133,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
OSMANABAD,2021-03-01,169,164.5930284722293,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB135B0790>
PALGHAR,2020-06-01,808,759.6024718979974,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB131ECD90>
PALGHAR,2020-07-01,784,759.6024718979974,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB131ECD90>
PALGHAR,2020-08-01,785,759.6024718979974,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB131ECD90>
PALGHAR,2020-09-01,795,759.6024718979974,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB131ECD90>
